id,time,工作計畫名稱,工作計畫編號,第一二級用途別科目名稱,第一二級用途別科目編號,科目編號,科目名稱,金額
201,107,,,退休離職儲金,0143,3202010800,,
201,107,,,退休離職儲金,0143,3202019800,,
201,107,,,保險,0151,total,total,40377.00
201,107,,,保險,0151,3202010100,,40377.00
201,107,,,保險,0151,3202010600,,
201,107,,,保險,0151,3202010200,,
201,107,,,保險,0151,3202010300,,
201,107,,,保險,0151,3202010401,,
201,107,,,保險,0151,3202010500,,
201,107,,,保險,0151,3202010800,,
201,107,,,保險,0151,3202019800,,
201,107,,,業務費,0200,total,total,271587.00
201,107,,,業務費,0200,3202010100,,188166.00
201,107,,,業務費,0200,3202010600,,15350.00
201,107,,,業務費,0200,3202010200,,30000.00
201,107,,,業務費,0200,3202010300,,15614.00
201,107,,,業務費,0200,3202010401,,6861.00
201,107,,,業務費,0200,3202010500,,10194.00
201,107,,,業務費,0200,3202010800,,5402.00
201,107,,,業務費,0200,3202019800,,
201,107,,,教育訓練費,0201,total,total,1225.00
201,107,,,教育訓練費,0201,3202010100,,1225.00
201,107,,,教育訓練費,0201,3202010600,,
201,107,,,教育訓練費,0201,3202010200,,
201,107,,,教育訓練費,0201,3202010300,,
201,107,,,教育訓練費,0201,3202010401,,
201,107,,,教育訓練費,0201,3202010500,,
201,107,,,教育訓練費,0201,3202010800,,
201,107,,,教育訓練費,0201,3202019800,,
201,107,,,水電費,0202,total,total,21807.00
201,107,,,水電費,0202,3202010100,,21807.00
201,107,,,水電費,0202,3202010600,,
201,107,,,水電費,0202,3202010200,,
201,107,,,水電費,0202,3202010300,,
201,107,,,水電費,0202,3202010401,,
201,107,,,水電費,0202,3202010500,,
201,107,,,水電費,0202,3202010800,,
201,107,,,水電費,0202,3202019800,,
201,107,,,通訊費,0203,total,total,11108.00
201,107,,,通訊費,0203,3202010100,,10991.00
201,107,,,通訊費,0203,3202010600,,
201,107,,,通訊費,0203,3202010200,,
201,107,,,通訊費,0203,3202010300,,
201,107,,,通訊費,0203,3202010401,,70.00
201,107,,,通訊費,0203,3202010500,,
201,107,,,通訊費,0203,3202010800,,47.00
201,107,,,通訊費,0203,3202019800,,
201,107,,,資訊服務費,0215,total,total,17441.00
201,107,,,資訊服務費,0215,3202010100,,17441.00
201,107,,,資訊服務費,0215,3202010600,,
201,107,,,資訊服務費,0215,3202010200,,
201,107,,,資訊服務費,0215,3202010300,,
201,107,,,資訊服務費,0215,3202010401,,
201,107,,,資訊服務費,0215,3202010500,,
