id,time,會計年度,月份,會計分類,會計科目編號,會計科目名稱,金額_本月數,金額_累計數
201,11112,111,12,1,5108,折舊、折耗及攤銷,3709984,42945093
201,11112,111,12,1,,收支餘絀,-44262,7713701
201,11201,112,01,1,410101,公庫撥入數,201231329,201231329
201,11201,112,01,1,4104,規費收入,90,90
201,11201,112,01,1,4105,財產收益,691575,691575
201,11201,112,01,1,4108,其他收入,8057,8057
201,11201,112,01,1,510101,繳付公庫數,699722,699722
201,11201,112,01,1,5102,人事支出,156537882,156537882
201,11201,112,01,1,5103,業務支出,9592561,9592561
201,11201,112,01,1,5104,獎補助支出,296100,296100
201,11201,112,01,1,5105,財產損失,9962,9962
201,11201,112,01,1,5108,折舊、折耗及攤銷,3546837,3546837
201,11201,112,01,1,,收支餘絀,31247987,31247987
201,11202,112,02,1,410101,公庫撥入數,62067804,263299133
201,11202,112,02,1,4104,規費收入,20,110
201,11202,112,02,1,4105,財產收益,172703,864278
201,11202,112,02,1,4108,其他收入,37450,45507
201,11202,112,02,1,510101,繳付公庫數,210173,909895
201,11202,112,02,1,5102,人事支出,73296786,229834668
201,11202,112,02,1,5103,業務支出,15770817,25363378
201,11202,112,02,1,5104,獎補助支出,0,296100
201,11202,112,02,1,5105,財產損失,2756,12718
201,11202,112,02,1,5108,折舊、折耗及攤銷,3556970,7103807
201,11202,112,02,1,,收支餘絀,-30559525,688462
201,11203,112,03,1,410101,公庫撥入數,72603185,335902318
201,11203,112,03,1,4104,規費收入,30,140
201,11203,112,03,1,4105,財產收益,309400,1173678
201,11203,112,03,1,4108,其他收入,36192,81699
201,11203,112,03,1,510101,繳付公庫數,345622,1255517
201,11203,112,03,1,5102,人事支出,55256844,285091512
201,11203,112,03,1,5103,業務支出,14969986,40333364
201,11203,112,03,1,5104,獎補助支出,4915,301015
201,11203,112,03,1,5105,財產損失,6748,19466
201,11203,112,03,1,5108,折舊、折耗及攤銷,3560951,10664758
201,11203,112,03,1,,收支餘絀,-1196259,-507797
201,11204,112,04,1,410101,公庫撥入數,64286344,400188662
201,11204,112,04,1,4103,罰款及賠償收入,6000,6000
201,11204,112,04,1,4104,規費收入,54,194
201,11204,112,04,1,4105,財產收益,134100,1307778
201,11204,112,04,1,4108,其他收入,23778,105477
201,11204,112,04,1,510101,繳付公庫數,163932,1419449
201,11204,112,04,1,5102,人事支出,48773028,333864540
201,11204,112,04,1,5103,業務支出,16356991,56690355
201,11204,112,04,1,5104,獎補助支出,0,301015
201,11204,112,04,1,5105,財產損失,67533,86999
201,11204,112,04,1,5108,折舊、折耗及攤銷,3556717,14221475
201,11204,112,04,1,,收支餘絀,-4467925,-4975722
201,11205,112,05,1,410101,公庫撥入數,93309333,493497995
201,11205,112,05,1,4103,罰款及賠償收入,0,6000
201,11205,112,05,1,4104,規費收入,0,194
201,11205,112,05,1,4105,財產收益,81300,1389078
201,11205,112,05,1,4108,其他收入,91051,196528
201,11205,112,05,1,510101,繳付公庫數,172351,1591800
201,11205,112,05,1,5102,人事支出,52252278,386116818
201,11205,112,05,1,5103,業務支出,38718014,95408369
201,11205,112,05,1,5104,獎補助支出,0,301015
201,11205,112,05,1,5105,財產損失,75688,162687
201,11205,112,05,1,5108,折舊、折耗及攤銷,3418809,17640284
201,11205,112,05,1,,收支餘絀,-1155456,-6131178
201,11206,112,06,1,410101,公庫撥入數,73504810,567002805
201,11206,112,06,1,4103,罰款及賠償收入,0,6000
201,11206,112,06,1,4104,規費收入,0,194
201,11206,112,06,1,4105,財產收益,92100,1481178
201,11206,112,06,1,4108,其他收入,30865,227393
