id,time,款,項,目,節,科目名稱及編號,預算數,預計執行內容
2001,113,,,,2,5120010202,技術職業教育行政及督導,9305,"1.辦理強化技職教育學制及特色，推動技職教育及職業試探活動、自學進修專科學校學力鑑定考試、五專多元入學等媒體宣導經費6,909千元。
2.辦理推動產學合作人才培育與技術研發，高教創新刊物、國家講座主持人獎、國家產學大師獎暨學術獎頒獎典禮、全國技專校院學生實務專題製作競賽暨成果展、技專校院黑客松競賽等媒體宣導經費2,134千元。
3.辦理引導學校發展多元特色及教學創新，協助學生投入就業職場等媒體宣導經費262千元。"
2001,113,,,3,,5120010300,中等教育,6421,
2001,113,,,,1,5120010301,師資培育與藝術教育行政及督導,6421,"1.辦理推行藝術教育，表演藝術教育線上觀摩展演平臺、藝術教育貢獻獎等藝術與美感教育媒體宣導經費547千元。
2.辦理獎勵優良教師，師鐸獎、教育奉獻獎及40年資深優良教師選拔及表揚活動，相關媒體宣導製作、託播及刊登等經費84千元。
3.辦理師資職前培育，相關媒體宣導製作、託播及刊登等經費4,000千元。
4.辦理教師專業發展，規劃及推動教師專業發展支持系統等事項，相關媒體宣導製作、託播及刊登等經費1,790千元。"
2001,113,,,4,,5120010500,終身教育,8923,
2001,113,,,,1,5120010501,終身教育行政及督導,8797,"1.辦理推動終身教育及學習網絡，推動終身學習計畫、活動、表揚等，相關媒體宣導製作、託播及刊登等經費247千元。
2.辦理推行家庭教育，國際家庭日、祖父母節、家庭教育計畫、活動及學習資源等，相關媒體宣導製作、託播及刊登等經費5,000千元。
3.辦理推動高齡教育，樂齡學習活動等，相關媒體宣導製作、託播及刊登等經費199千元。
4.辦理本國語言文字標準訂定與推廣，閩南語語言能力認證、本土語言貢獻獎及本土語言教育推廣活動等，相關媒體宣導製作、託播及刊登等經費730千元。
5.辦理建立終身學習推動組織，國立社教機構推動終身學習，相關媒體宣導製作、託播及刊登等經費2,621千元。"
2001,113,,,,2,5120010507,國立臺灣藝術教育館行政及推展,126,辦理視覺藝術教育活動，相關展覽、全國學生美術比賽及巡迴展推廣活動，相關媒體宣導製作、託播及刊登等經費126千元。
2001,113,,,5,,5120010700,學務與輔導,10633,
2001,113,,,,1,5120010701,學生事務與特殊教育行政及督導,10633,"1.辦理學生事務行政及督導，法治教育及品德教育相關媒體宣導製作、託播等經費1,940千元。
2.辦理性別平等教育，「性別平等Easy Go」廣播節目、性別平等教育全球資訊網系統功能擴充及維護工作計畫等相關媒體宣導製作、託播及刊登等經費810千元。
3.辦理校園安全維護與防制學生藥物濫用，相關媒體宣導製作、託播及刊登等經費6,256千元。
4.辦理發展與改進大專校院特殊教育，委託辦理特殊教育宣導廣播節目─特別的愛等經費751千元。
5.辦理推動學生輔導工作，生命教育多元宣導等經費876千元。"
2001,113,,,6,,5120010900,各項教育推展,11152,
2001,113,,,,1,5120010904,資訊與科技教育行政及督導,4545,"1.辦理資訊科技融入教學，相關媒體宣導製作、託播及刊登等經費4,095千元。
2.辦理氣候變遷調適與防災教育及永續校園計畫，環境、防災、氣候變遷、永續發展媒體宣導等經費450千元。"
2001,113,,,,2,5120010908,國際及兩岸教育交流,6607,"1.辦理國際教育活動業務，委託媒體執行與國際交流活動相關之政策及業務宣導等經費2,000千元。
2.辦理國際華語文教育，推廣學華語到臺灣及臺灣優質華語教育，相關媒體宣導製作、託播及刊登等經費1,487千元。
3.辦理培育宏觀視野國際人才，留遊學經驗分享及說明會之線上轉播，以及製作相關影片，利用社群媒體推播，相關媒體宣導製作、託播及刊登等經費586千元。
4.辦理吸引國際學生來臺就學，宣導各類留學臺灣及獎學金資訊，相關媒體宣導製作、託播、刊登及圖文攝影暨短片，以及辦理留學臺灣系列文宣製作，相關媒體文宣製作等經費2,434千元。
5.辦理港澳及兩岸教育相關事務，透過網路搜尋關鍵字設定，提升招生資訊觸及率、報名人數等媒體宣導經費100千元"
2001,112,11," "," "," ",0020000000," "," "
2001,112," "," "," "," ",教育部主管," "," "
2001,112," ",1," "," ",0020010000,73178," "
2001,112," "," "," "," ",教育部," "," "
2001,112," "," "," "," ",5120010000,73178," "
2001,112," "," "," "," ",教育支出," "," "
2001,112," "," ",1," ",5120010100,1000," 辦理推展一般教育及編印文教書刊，有關本部重要政策、制度變革等素材以本部自媒體宣導管道推廣及MATA獎大專校院學生原住民族主題影音競賽媒體宣導，相關規劃拍攝、剪輯宣傳影片、運用社群（臉書、IG等）、電視臺宣傳等經費1,000千元。"
2001,112," "," "," "," ",一般行政," "," "
2001,112," "," ",2," ",5120010200,21797," "
2001,112," "," "," "," ",高等教育," "," "
2001,112," "," "," ",1,5120010201,6978," 1.辦理推動及改進大學招生制度，相關活動之宣傳費，含網路平臺推廣、網路行銷費等經費428千元。2.辦理強化人才培育及產學合作機制，大學校院藝術與設計人才養成等計畫，行銷推廣所需之宣傳費，含網路平臺推廣、網路行銷費等經費550千元。3.辦理改善教學研究環境及提升高等教育行政服務品質，各項高等教育政策媒體宣導等經費6,000千元。"
2001,112," "," "," "," ",高等教育行政及督導," "," "
2001,112," "," "," ",2,5120010202,14819," 1.辦理強化技職教育學制及特色，推動技職教育及職業試探活動、自學進修專科學校學力鑑定考試、五專多元入學等媒體宣導經費計11,512千元。2.辦理推動產學合作人才培育與技術研發，高教創新刊物、國家講座主持人獎、國家產學大師獎暨學術獎頒獎典禮、全國技專校院學生實務專題製作競賽暨成果展、技專校院黑客松競賽等媒體宣導經費計3,307千元。"
2001,112," "," "," "," ",技術職業教育行政及督導," "," "
2001,112," "," ",3," ",5120010300,8909," "
2001,112," "," "," "," ",中等教育," "," "
