id,time,會計年度,款,項,目,節,預算科目編號,預算科目名稱,細目編號,細目名稱,預算數_原預算數,預算數_預算增減數,預算數_合計1,決算數_實現數,決算數_應收數,決算數_保留數,決算數_合計2,預決算比較增減數,決算數占預算數之比率
401,109,109,2,,,,0400000000-2,罰款及賠償收入,,,450000,0,450000,164919,0,0,164919,-285081,36.65
401,109,109,,20,,,0404010000-3,立法院,,,450000,0,450000,164919,0,0,164919,-285081,36.65
401,109,109,,,1,,0404010300-7,賠償收入,,,450000,0,450000,164919,0,0,164919,-285081,36.65
401,109,109,,,,1,0404010301-0,一般賠償收入,,,450000,0,450000,164919,0,0,164919,-285081,36.65
401,109,109,4,,,,0700000000-9,財產收入,,,9460000,0,9460000,9557464,0,0,9557464,97464,101.03
401,109,109,,21,,,0704010000-0,立法院,,,9460000,0,9460000,9557464,0,0,9557464,97464,101.03
401,109,109,,,1,,0704010100-4,財產孳息,,,8136000,0,8136000,8217444,0,0,8217444,81444,101.00
401,109,109,,,,1,0704010103-2,租金收入,,,8136000,0,8136000,8217444,0,0,8217444,81444,101.00
401,109,109,,,2,,0704010500-2,廢舊物資售價,,,1324000,0,1324000,1340020,0,0,1340020,16020,101.21
401,109,109,7,,,,1200000000-8,其他收入,,,584000,0,584000,1021427,0,0,1021427,437427,174.90
401,109,109,,23,,,1204010000-9,立法院,,,584000,0,584000,1021427,0,0,1021427,437427,174.90
401,109,109,,,1,,1204010200-8,雜項收入,,,584000,0,584000,1021427,0,0,1021427,437427,174.90
401,109,109,,,,1,1204010201-0,收回以前年度歲出,,,45000,0,45000,525467,0,0,525467,480467,1167.70
401,109,109,,,,2,1204010210-1,其他雜項收入,,,539000,0,539000,495960,0,0,495960,-43040,92.01
401,109,109,,,,,經常門小計,,,,10494000,0,10494000,10743810,0,0,10743810,249810,102.38
401,109,109,,,,,資本門小計,,0,0,0,0,0,0,0,0,0,0,0.00
401,109,109,,,,,合計,,,,10494000,0,10494000,10743810,0,0,10743810,249810,102.38
401,110,110,2,,,,0400000000-2,罰款及賠償收入,,,400000,0,400000,102538,0,0,102538,-297462,25.63
401,110,110,,21,,,0404010000-3,立法院,,,400000,0,400000,102538,0,0,102538,-297462,25.63
401,110,110,,,1,,0404010300-7,賠償收入,,,400000,0,400000,102538,0,0,102538,-297462,25.63
401,110,110,,,,1,0404010301-0,一般賠償收入,,,400000,0,400000,102538,0,0,102538,-297462,25.63
401,110,110,4,,,,0700000000-9,財產收入,,,9115000,0,9115000,8704762,0,0,8704762,-410238,95.50
