id,time,會計年度,月份,會計分類,會計科目編號,會計科目名稱,金額
240,10505,105,05,2,3601,資本資產總額,61576651723
240,10506,105,06,2,1401,土地,10915256808
240,10506,105,06,2,1404,房屋建築及設備,7576327475
240,10506,105,06,2,1405,機械及設備,3969895842
240,10506,105,06,2,1406,交通及運輸設備,192446484
240,10506,105,06,2,1407,雜項設備,706794054
240,10506,105,06,2,1410,收藏品及傳承資產,37836300000
240,10506,105,06,2,1411,購建中固定資產,286822468
240,10506,105,06,2,1601,無形資產,188612510
240,10506,105,06,2,3601,資本資產總額,61672455641
240,10507,105,07,2,1401,土地,10915256808
240,10507,105,07,2,1404,房屋建築及設備,7563734288
240,10507,105,07,2,1405,機械及設備,3897089127
240,10507,105,07,2,1406,交通及運輸設備,189901469
240,10507,105,07,2,1407,雜項設備,729267502
240,10507,105,07,2,1410,收藏品及傳承資產,37836300000
240,10507,105,07,2,1411,購建中固定資產,1439785784
240,10507,105,07,2,1601,無形資產,203467176
240,10507,105,07,2,3601,資本資產總額,62774802154
240,10508,105,08,2,1401,土地,10915256808
240,10508,105,08,2,1404,房屋建築及設備,7570064956
240,10508,105,08,2,1405,機械及設備,3831350740
240,10508,105,08,2,1406,交通及運輸設備,185254736
240,10508,105,08,2,1407,雜項設備,725600063
240,10508,105,08,2,1410,收藏品及傳承資產,37836300000
240,10508,105,08,2,1411,購建中固定資產,360762242
240,10508,105,08,2,1601,無形資產,205122107
240,10508,105,08,2,3601,資本資產總額,61629711652
240,10509,105,09,2,1401,土地,10915256808
240,10509,105,09,2,1404,房屋建築及設備,7572103812
240,10509,105,09,2,1405,機械及設備,3761504887
240,10509,105,09,2,1406,交通及運輸設備,190494206
240,10509,105,09,2,1407,雜項設備,711677627
240,10509,105,09,2,1410,收藏品及傳承資產,37836300000
240,10509,105,09,2,1411,購建中固定資產,360764242
240,10509,105,09,2,1601,無形資產,204933731
240,10509,105,09,2,3601,資本資產總額,61553035313
240,10510,105,10,2,1401,土地,10915256808
240,10510,105,10,2,1404,房屋建築及設備,7573533711
240,10510,105,10,2,1405,機械及設備,3706348017
240,10510,105,10,2,1406,交通及運輸設備,185961301
240,10510,105,10,2,1407,雜項設備,687634633
240,10510,105,10,2,1410,收藏品及傳承資產,37836300000
240,10510,105,10,2,1411,購建中固定資產,398749138
240,10510,105,10,2,1601,無形資產,216600810
240,10510,105,10,2,3601,資本資產總額,61520384418
240,10511,105,11,2,1401,土地,10915256808
240,10511,105,11,2,1404,房屋建築及設備,7560076543
240,10511,105,11,2,1405,機械及設備,3685359052
240,10511,105,11,2,1406,交通及運輸設備,180864030
240,10511,105,11,2,1407,雜項設備,677930485
240,10511,105,11,2,1410,收藏品及傳承資產,37836300000
240,10511,105,11,2,1411,購建中固定資產,459825622
240,10511,105,11,2,1601,無形資產,242301715
240,10511,105,11,2,3601,資本資產總額,61557914255
240,10512,105,12,2,1401,土地,10915256808
240,10512,105,12,2,1404,房屋建築及設備,7573621020
240,10512,105,12,2,1405,機械及設備,3706143270
240,10512,105,12,2,1406,交通及運輸設備,182328299
240,10512,105,12,2,1407,雜項設備,701787072
240,10512,105,12,2,1410,收藏品及傳承資產,37836300000
240,10512,105,12,2,1411,購建中固定資產,509008403
240,10512,105,12,2,1601,無形資產,260180767
240,10512,105,12,2,3601,資本資產總額,61684625639
240,10601,106,01,2,1401,土地,10944251708
240,10601,106,01,2,1402,土地改良物,3293000
240,10601,106,01,2,1404,房屋建築及設備,7571540626
240,10601,106,01,2,1405,機械及設備,3948465652
240,10601,106,01,2,1406,交通及運輸設備,177518851
240,10601,106,01,2,1407,雜項設備,736102083
240,10601,106,01,2,1410,收藏品及傳承資產,37836300000
240,10601,106,01,2,1411,購建中固定資產,528329494
240,10601,106,01,2,1601,無形資產,262661970
240,10601,106,01,2,3601,資本資產總額,62008463384
240,10602,106,02,2,1401,土地,10944251708
240,10602,106,02,2,1402,土地改良物,3293000
240,10602,106,02,2,1404,房屋建築及設備,7557470877
